"title","date_posted","deadline","poster","field","location","job_type","industry","minimum_qualification","experience_level","responsibilities","qualifications","benefits","application_method"
"Credit Risk Analyst",2019-04-04,NA," Guinness","Finance / Accounting / Audit  ","Nairobi","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ","
1 - 2 years ",NA,NA,NA,"Interested and qualified? Go to Guinness career website on diageo.wd3.myworkdayjobs.com to apply"
"Senior Project Manager",2019-04-04,NA," Mace","Project Management  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ",NA,NA,"
A degree qualification related in a construction or project management.
A registered professional with applicable board is desirable.
",NA,"Interested and qualified? Go to Mace career website on www.macegroup.com to apply"
"Technical & Sales Trainer",2019-04-04,NA," Mobisol Group","Education / Teaching  ","Nairobi","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ",NA,"
Preparing training sessions including organizing and maintaining manuals and training materials
Delivering classroom training, including daily homework
Organizing and supervising field training
Evaluating student performance, including conducting examinations
Communicating results of training to Tech Coordinators, Service  Assurance Leader, Head of HR and students
Liaising with Tech Department for a smooth student handover
Supporting Training and Development expansion as needed
Preparing reports including attendance data, exam results
","
Practical technical experience
Academic background in engineering, electronics, or related field as a plus
Experience as trainer or business coach is a plus
Experience in or interest in teaching and student development
Skilled in Microsoft Office and other computer programs and visualization techniques
Ability to conceptualize and develop a conducive  learning environment is a plus
Fluency in English and Swahili
Willingness and ability to travel frequently and for longer period of time
",NA,"Interested and qualified? Go to Mobisol Group career website on mobisol-jobs.personio.de to apply"
"Director, Research, Compliance, Policy and Planning",2019-04-04,2019-04-15," Salaries & Renumeration Commission","Administration / Secretarial  ","Nairobi","Full Time"," Government","BA/BSc/HND   MBA/MSc/MA   ","
12 years ","
To formulate strategy and policy guidelines on Research, Compliance, Policy and planning to guide the Commission.
Develop Research Proposals to attract funding.
Initiate research and comparative studies on current trends; Remuneration and Benefits, Productivity, among others.
Initiate forums to disseminate research and compliance findings to relevant stakeholders.
Initiate and develop related Remuneration and benefits Policies for the public Service.
Coordinate the preparation of periodical work plans of the Commission in line with its overall strategic objectives.
Initiate and coordinate research surveys that inform the remuneration and benefits policies and strategies.
Develop Compliance Measurement mechanisms.
Coordinate compliance activities of the Commission’s policies and advisories in the Public Service and prepare reports for the commission.
Coordinate the preparation and implementation of the Commission’s strategic plan and annualized plans to operationalize the strategic plan.
Manage and plan for the resources and staff in the directorate in a timely and affordable manner while maintaining high standards.
Prepare and present Commission reports.
","
Excellent Analytical skills.
Excellent Communication skills.
Good Interpersonal skills.
Excellent Organizational skills.
Ability to work under pressure.
Excellent Negotiation skills.
Ability to build and lead cohesive teams.
Good Problem solving skills.
",NA,"Interested and qualified persons are requested to submit their applications indicating their current salary together with a detailed Curriculum vitae, copies of academic and professional certificates and testimonials. Those who had applied for this position earlier are advised to re-apply."
"Chief Executive Officer",2019-04-04,2019-04-17," Kenya Water Towers Agency","Administration / Secretarial  ","Nairobi","Full Time"," Government","BA/BSc/HND   MBA/MSc/MA   PhD/Fellowship   ","
10 years ",NA,NA,NA,"Each application should be accompanied with an Online Application form from KWTA Website, Application Letter, detailed Curriculum Vitae, Certified Copies of Academic Certificates, National Identity Card/ Passport; Testimonials and other relevant supporting documents indicating current and expected Salary, Names and Contacts of at least three (3) Referees, Day-Time Contact, and Notice Period required to take up the Appointment."
"Front Office and Administrative Assistant",2019-04-04,2019-04-12," Kenya Climate Innovation Center (","Administration / Secretarial  
Customer Care  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
3 years ",NA,"
At least a Degree in Business / Office Administration / Public Relations / Customer Service or any other related field;
Minimum of 3 years’ experience in Front office administration, or related fields;
Computer skills including the ability to operate emails, spreadsheet and Word processing programs at a highly proficient level.
",NA,"Candidates who meet the above requirements should send their CV and cover letter by email detailing experience relevant to the role being applied for, current and expected salary, daytime telephone contacts, valid email address, and names of three professional referees to hr@kcv.co.ke."
"CIPR Tutor",2019-04-04,2019-04-08," Simon Page College of Market","Education / Teaching  ","Nairobi","Full Time"," Education / Teaching / Information","BA/BSc/HND   ",NA,NA,"
CIPR Training and Membership
Public Relation or communications Practice
Training/Tutoring Experience
",NA,"Interested and qualified candidates should send their CVs with a cover letter to progress@simonpage.ac.ke using the subject line ‘CIPR Tutor Application’.Application Closing date is Monday, 8th April, 2019."
"Procurement Intern",2019-04-04,2019-04-04," Nova Pioneer","Graduate Jobs / Internships  
Procurement / Store-keeping / Supply Chain  ","Nairobi","Full Time"," Education / Teaching / Information","BA/BSc/HND   ","
2 years ",NA,NA,NA,"Use the link(s) below to apply on company website."
"Learning Initiatives Associate",2019-04-04,2019-04-04," Nova Pioneer","Education / Teaching  ","Nairobi","Full Time"," Education / Teaching / Information","BA/BSc/HND   ","
2 years ",NA,NA,NA,"Use the link(s) below to apply on company website."
"Database Administrator",2019-04-04,NA," d.light","ICT / Computer  ","Nairobi","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ",NA,"
Solutions-oriented thinking; always looking for the smart solution to a problem rather than jumping at the first answer;
Lead database strategy; know what type of engine to use, strategy to adopt (Sharding, Partitioning, Clustering etc), and overall data modelling strategy;
Execute in a hands-on capacity alongside the team on projects and day-to-day technical work;
Operate with agile methodologies;
Participate in design, development and deployment of API’s and/or microservices to integrate across multiple new and existing applications, from a database perspective;
Collaborate with front-end developers and other team members to establish objectives, design and deliver cohesive business systems and enhanced user experience;
Advise Management on Long-Term Capacity Plans and Growth;
Analyze Impact of Database Changes to the Business;
Most importantly, lead the development of a large scale data warehouse/lake for the business.
",NA,NA,"Submit CV and Cover letter to hr.africa@dlight.com"
"Store Manager",2019-04-04,NA," Builders: Warehouse, Express, Trade ","Procurement / Store-keeping / Supply Chain  ","Nairobi","Full Time"," Sales / Marketing / Retail","BA/BSc/HND   ","
5 years ",NA,NA,NA,"Email - Aissa Gundo - aissa.gundo@builders.co.za"
"Product Manager",2019-04-03,NA," Hotel Commerce Solutions","ICT / Computer  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ",NA,"
Analyze different markets and products to look for new opportunities to help the company and enhance customer experience
Coordinate with B2C side of the business to ensure the strategy aligns with consumer product trends and wide business strategy
Work with marketing and technology to enable strategic growth, driving customer and sales adoption
Manage, lead and drive the production/development of new internal games from conceptualization, design, production, testing, promotion, support, to product delivery
Liaise and co-operate with software development and design teams to ensure business goals are met
Run end to end development life cycle of B2B products
Own the product roadmap end to end for all products
Deliver the operating plan with growth objectives, market share, revenue, profit, return on investment of products
Managing relationships with extensive network of third party game providers/developers
","
Strong Leadership, professional attitude – and leading by example
Bright, highly self-motivated and driven
Ability to solve problems quickly and completely
Ability to multi-task and stay organized in a dynamic work environment
Analytical and inquisitive, with excellent attention to detail
Innovative and creative, with a concise, precise and effective approach to problem solving and the ability to develop, deliver and evaluate ideas founded on rock-solid strategic thinking
Credible, confident and articulate, with excellent communication and presentation skills and the gravitas to deliver ideas clearly and concisely to internal and external stakeholders at all levels of seniority and technical experience/knowledge.
Reliable, flexible and cooperative
Diplomatic and tactful
",NA,"Applicants who meet the requirements stated above should send their applications and detailed CVs with a day – time telephone number to the email address: jobs1@hcsafrica.com with Product Manager on the Subject line."
"Chief Project Officer",2019-04-03,NA," Hotel Commerce Solutions","Project Management  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ",NA,"
Lead the planning and implementation of all projects
Contribute to organizational business and budget planning process
Contribute to the management, operation and performance of the Business Services Directorate; to ensure it meets its targets and supports the delivery of organizational and strategic goals
Proactively engage with Directors and senior managers to identify opportunities for business improvements
Manage the PMO team and provides performance feedback and goal-setting; conducts annual performance assessments and skill development and training
Manage the administration for project submissions and approvals through the agreed prioritization and approval process, maintaining a pipeline of approved projects
Ensures a clear and consistent approach is in place to manage risk with alignment to the Finance & Business risk registers and the Corporate risk register
Collate qualitative and quantitative information on project performance for the preparation and production of project reports for internal management purposes
Work closely with Business Services teams (as well as internal and external project partners where appropriate) to devise, develop and deliver appropriate and proportionate systems to evaluate key activities at a project level
Provide advice and support to project partners on how project evidence and information has to be presented and reported
Ensure that information recorded in both electronic and hard copy meets with internal and external audit standards
Ensure detailed project, implementation or actions plans are created for the duration of each project as appropriate
Ensure projects have requirements documented and agreed to ensure that project activity meets agreed project objectives
Ensure monitoring of progress against all projects is timely and accurate and enables Sponsors and stakeholders have visibility and sufficient information to make the required decisions
Ensure risks, issues and dependencies are being recorded, monitored and proactively managed to minimize disruption to successful delivery
Participate in project reviews, approvals, and gating processes
",NA,NA,"Applicants who meet the requirements stated above should send their applications and detailed CVs with a day – time telephone number to the email address: jobs1@hcsafrica.com with Product Manager on the Subject line."
"Insight Analyst",2019-04-03,NA," Hotel Commerce Solutions","ICT / Computer  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ","
2 years ","
Understanding the gaming business in depth to provide models that fit within the proper context.
Working closely with several different teams to drive insights, improve products and create more effective marketing campaigns
Identifying, designing, and implementing gathered data to create analytic metrics and prototypes used to drive business decisions
","
An advanced degree in a relevant field (Computer Science/Data Science/Statistics/Applied Math/Physics)
Worked in the betting industry for a minimum of 2 years.
Good numeric and statistical analysis skills are essential.
Good planning skills and ability to follow a schedule.
Ability to research soccer matches based on results, soccer tables, soccer fixtures, soccer statistics, soccer teams, soccer players, soccer news.
Keep up to date and passionate about football news and information.
Good understanding of betting in Kenya and familiar with placing bets with the most popular betting companies (At least 3 of them)
Good understanding of betting odds and probability of matches based on the odds.
",NA,"Applicants who meet the requirements stated above should send their applications and detailed CVs with a day – time telephone number to the email address: jobs1@hcsafrica.com with Product Manager on the Subject line."
"AML Analyst",2019-04-03,2019-04-16," Co-operative Bank of Kenya","ICT / Computer  ","Nairobi","Full Time"," Banking / Financial Services","BA/BSc/HND   ","
3 years ","
Investigate and assess alerts relating to potential money laundering risks in the bank.
Ensure efficient identification and monitoring of suspicious activities and transactions and reporting of the same to Head of Compliance and FRC.
Stay current with money laundering and terrorist financing behaviors, issues, policies, regulations, criminal typologies, industry best practices, and developing trends.
Identify potential systemic procedural weaknesses in processes and additional training requirements for the Bank.
Act as a subject matter expert to employees, providing guidance on what actions to take in dealing with high risk customers. This entails developing and maintaining a current knowledge of industry AML initiatives and best practices coupled with general awareness of AML regulatory changes and assisting project teams in remaining compliant.
Assist with addressing internal queries (from within the bank) and external queries (from financial institutions and regulators) relating to money laundering matters.
Carry out AML compliance training on how to identify and report suspicious transactions.
Collect documentary proof, build and maintain case files for transactions deemed suspicious.
Analyze and provide periodic reports to Head of Compliance.
Ensure effective record-keeping of data collected and analyzed in line with Proceeds of Crime and AML regulations 2013.
Take responsibility for leading the analysis, design and development of innovative and best practice AML and Bank Solutions to deliver business objectives, optimal system performance and Compliance.
","
A Bachelor’s degree preferably in a business/ICT related field from a recognized University.
Possession of Anti-Money Laundering diploma or Professional certification with an organization, such as the Association of Certified Anti-Money Laundering Specialists (ACAMS), will be a distinct advantage.
Minimum of 3 years’ experience in a similar role or as a Compliance Officer with hands on experience in handling AML issues and suspicious transaction monitoring systems.
Superb data analysis skills coupled with ability to organize and analyze complex data sets.
Proficiency in MS Excel.
Ability to easily grasp and comprehend AML risks in the bank and to develop user requirements as well as recommend automated solutions to mitigate those risks.
",NA,"If you are confident that you fit the role and person profile and you are keen to add value to your career then please forward your application enclosing detailed Curriculum Vitae to jobs@co-opbank.co.ke indicating the job reference number AMLA/CD/2019 by 16th April, 2019."
"Programme Officer",2019-04-03,NA," TradeMark East Africa (TMEA)","Project Management  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,"
Ensuring all Customer Service Officers, Branch and other bank staff utilize the Mantis Complaints Centre to capture and log complaints
Proper monitoring of complaints logged in the Mantis Complaint Centre to ensure timely and satisfactory closure of Customer Complaints raised.
Follow-up with reporters and resolvers for constant updates on complaints
Regular follow up of Issues to ensure Outstanding Issues are dealt with and customers are updated on the same
Monitoring and escalating recurring Issues to improve on the level of Service to Customers
Implementation of the Bank’s Complaints Management Strategy
Conducting Voice of the Customer Surveys on the Complaints resolution process.
Communicating to customers upon receipt and closure of the complaint in writing as stipulated in the Consumer Protection Guidelines.
Handling Customer complaints and Queries on Social Media
Monitoring issues raised on Service Desk.
","
Excellent problem solving and analytical skills.
Excellent verbal and written communication skills
Time management skills
Excellent report writing skills
High attention to detail
Computer literate
Respect for customer and business confidentiality
Ability to work independently with minimum supervision.
Should possess sound organizational and planning skills with good attention to details.
Excellent interpersonal skills to enable development of open communication, teamwork and trust that is needed to support performance and customer service oriented culture
Good judgement and decision-making skills.
At least two years’ experience in a financial institution preferably a bank with familiarity to the call centre function
Bachelor’s degree in a Business related field from a recognized institution.
Banking qualifications desirable
Customer service qualifications
Well versed with CBK Prudential Guidelines relating to customer service
Knowledge of all relevant banking policies, processes, procedures .
Customer centric/focused.
",NA,"Interested and qualified? Go to TradeMark East Africa (TMEA) career website on www.imbank.com to apply"
"Economics & Strategy Officer",2019-04-03,NA," World Bank Group","NGO/Non-Profit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
5 years ","
Work closely with the Regional Director and provide the economic support to IFC’s activities as needed. A key skill for this role is to help “translate” the macroeconomic context/assessment into the regional/country operational strategy
Act as a local focal point for the Regional Director, working closely with operational staff and liaising with the Regional Strategy Team and the Regional Strategy Manager in CCE to ensure adequate support to Operations on the economic front, at the project level and strategy level
Support the strategy work for major countries and several countries within a region, and work closely with country/industry managers, teams, and stakeholders in developing IFC country and/or industry strategies in the Region.
Contribute to preparation of briefs, reports and presentations to various stakeholders, including senior management and the Board, as well as external stakeholders
Provide economic advice on investment and advisory projects, including due diligence. Draft relevant sections of Board papers for investment project approval (macro-economy and country context)
","
A graduate degree in economics, public policy or other relevant graduate degree from a reputable university
At least 5 years of experience demonstrating analytical skills in economics and private sector development work in a country/regional context
Experience in and strong knowledge of the economic context and challenges of countries
Familiarity with IFC’s or similar Development Finance Institutions’ areas of focus and relevant experience in country/regional context
Knowledge of IFC operational and portfolio work and a good understanding of investment projects is desirable
Excellent understanding of financial and economic concepts and data
Strong analytical and quantitative skills
Excellent written and verbal communication skills and ability to communicate effectively with high level stakeholders in English. Fluency in Arabic/French/Spanish//Chinese a strong plus
",NA,"Use the link(s) below to apply on company website."
"Investment Analyst",2019-04-03,NA," World Bank Group","Finance / Accounting / Audit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
2 - 3 years ","
Work across industries and regions with colleagues on all levels to help identify and execute agribusiness investment transactions in the Sub-Saharan Africa region;
Participate in all aspects of IFC’s investment processing cycle from project development to disbursement;
Utilize research tools effectively to conduct in-depth benchmarking analysis by sectors, companies and geographies;
Analyze financial statements and prepare financial models;
Prepare project-related documents (e.g. investment committee presentation) for internal and external audiences;
Prepare notes/reports on relevant investment themes, events and breaking news;
Analyze development impact and ensure IFC could deliver their mission;
Establish and maintain relationships with existing clients to ensure responsive client service and proactive new business development;
Undertake portfolio supervision work including periodic reviews of projects.
","
A bachelor degree or equivalent professional qualification/ experience;
Prior professional experience (at least 2 years) in corporate or project financing, including investment banking, commercial banking, private equity, equity research or business consulting;
Excellent Excel, PowerPoint and Word skills to build succinct and convincing analyses and presentations;
Strong research and quantitative skills, with preference for a background in financial analysis and modeling;
Strong client service orientation with openness to feedback and new ideas;
Exceptional attention to detail;
Excellent communication skills (verbal and written) in English.  Fluency in other languages (e.g. French, Arabic) is a plus;
Team player with strong communication and interpersonal skills and ability to develop effective relationships within and outside IFC;
Ability to work flexibly on a range of assignments, cope with shifting priorities at short notice, and still deliver top quality work while meeting tight deadlines;
Takes personal responsibility and accountability for timely response to client queries, requests or needs, working to remove obstacles that may impede execution or overall success;
Experience in emerging market is preferred (experience in Sub-Saharan Africa will be a plus);
Passion in economic development; and
Ability to work sensitively and effectively in a multicultural setting.
",NA,"Use the link(s) below to apply on company website."
"Infrastructure Investment Analyst",2019-04-03,NA," World Bank Group","Finance / Accounting / Audit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
2 - 3 years ","
Analyze financial statements and prepare financial models;
Conduct industry, market and company research;
Prepare project-related documents for internal and external audiences;
Participate in all aspects of IFC’s project processing cycle from project development to disbursement;
Participate to the execution of IFC’s project development investments with a strong focus on achieving bankable projects;
Coordinate closely with environmental and social colleagues to ensure the maintenance of high environmental and social standards in IFC’s investment;
Participate in investment negotiations;
Supervise investments in portfolio companies; and
Collaborate efficiently with a range of industry and regional IFC colleagues.
","
At least Bachelor’s or equivalent university degree;
2 – 3 years’ experience in project and credit analysis with a major financial institution, consulting company or large corporation a plus, although candidates with limited prior experience will also be considered;
Strong financial, analytical and modeling skills;
Team player with strong interpersonal skills, ability to interact effectively with clients and colleagues from various cultural backgrounds;
Interest in the World Bank Group and IFC’s mission, strategy and values;
Excellent communication skills in English; knowledge of Portuguese or Amharic a plus; and
Local knowledge and experience in African markets.
",NA,"Use the link(s) below to apply on company website."
"Investment Analyst Program",2019-04-03,NA," World Bank Group","Project Management  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
3 years ","
Creating financial models
Analyzing historical and projected financial statements
Conducting industry and market research
Reviewing company information
Preparing documentation for IFC internal processes
Participating in investment negotiations
","
Bachelor’s or equivalent degree
Ability to develop complex financial models
Keen interest in development finance and multicultural environments
Up to 3 years work experience in a financial institution, particularly in investment projects
Strong analytical and conceptual skills including corporate/project finance
Ability to communicate clearly and concisely both orally and in writing
Fluency in English required, proficiency in additional languages is preferred
",NA,"Use the link(s) below to apply on company website."
"Senior Economics & Strategy Officer",2019-04-03,NA," World Bank Group","Finance / Accounting / Audit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
8 years ","
Work closely with the Regional Director and provide the economic support to IFC’s activities as needed. A key skill for this role is to help “translate” the macroeconomic context/assessment into the regional/country operational strategy
Act as a local focal point for the Regional Director, working closely with operational staff and liaising with the Regional Strategy Team and the Regional Strategy Manager in CCE to ensure adequate support to Operations on the economic front, at the project level and strategy level
Lead the strategy work for major countries and several countries within a region, and work closely with country/industry managers, teams, and stakeholders in developing IFC country and/or industry strategies in the Region
Contribute to preparation of briefs, reports and presentations to various stakeholders, including senior management and the Board, as well as external stakeholders
Provide economic advice on investment and advisory projects, including due diligence. Draft relevant sections of Board papers for investment project approval (macro-economy and country context)
",NA,NA,"Use the link(s) below to apply on company website."
"Human Resource Manager",2019-04-03,2019-04-10," East Africa Infrastructure Services Lim","Human Resources / HR  ","Nairobi","Full Time"," Engineering / Technical","BA/BSc/HND   ","
5 years ","
Recruitment – Advising and leading the management team in talent acquisition and management including managing the recruitment process in a manner that ensures the right caliber of employees is hired and retained. Leading in Manpower planning, to ensure appropriate match between employees and jobs to be done.
Record Keeping – Organizing and maintaining personnel records, updating internal HR databases and preparing of all HR related documents.
Legal Compliance – Liaise with external partners, like insurance vendors, and ensure legal compliance.
Reporting – Create regular reports and presentations on HR metrics
Performance Management – Developing, reviewing and sustaining a robust performance management process and all related functions including staff appraisal, training, planning and incentive schemes.
Organizational Culture Development and Succession Planning – Building a culture of continuous improvement in all operational areas and ensuring succession planning is in place at all levels.
Working closely with the CEO, General Manager and Departmental Managers, providing them with expert guidance, coaching and support on the full range of HR activities (including policies and procedures, performance management, on-boarding and exit planning etc.)
Developing a HR budget based on the strategy and effectively managing it to ensure that cost management goals are achieved.
Developing and implementing HR policies and procedures and monitor all HR activities and practices to ensure compliance.
Managing industrial relations matters and offer training, advise and general guidance to managers and supervisors on labor laws and related market practices, to ensure a harmonious work environment.
Leading in handling staff grievances in a prompt, conscientious manner while playing heed to the company’s business needs and policies.
Coordinating and implementing of Human Resource Projects (Job Evaluation, Review of Scheme of Service, Review of HR policies, Review of HR processes and documentation, Manpower audits, managing all Insurance matters, liaising with departmental managers regarding training of new employees and offering HR support to all company staff.
Responsible for safety management and training at the workplace, ensuring compliance with the Occupational Safety and Health Act (OSHA). This involves creation of programs such as company policies, training, investigating during cases of accidents and implementing post-injury follow up procedures for workers.
Payroll Management – Administering of staff payroll and Benefits
","
Bachelor’s degree in Human Resource Management, Business Studies or Social Sciences from a recognized university
Higher National Diploma in Human Resources Management
At least five years progressive work experience in a similar position with related responsibilities
Practical experience in developing and implementing strategies for managing performance, motivation, change and culture management of staff of different diverse cultural backgrounds
Familiarity with the National and international Labour Laws
Must be a member of IHRM
",NA,"We urgently need to fill this position and only shortlisted candidates will be contacted. Interested candidates should send their cover letter and CV including three referees to hr@eaisl.com not later than 10th April 2019. Please indicate “HR Manager” as the subject line of your email."
"Nairobi Innovation Challenge | Kenya's promising startups",2019-04-03,NA," University of Nairobi","Administration / Secretarial  ","Nairobi","Full Time"," Education / Teaching / Information","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to University of Nairobi career website on www.innovationweek.co.ke to apply"
"Head of Heavy Plant Machinery",2019-04-03,2019-04-08," AAA Growers","Engineering / Technical  ","Nairobi","Full Time"," Agriculture / Agro-Allied","BA/BSc/HND   ",NA,NA,NA,NA,"If you can clearly demonstrate the above-mentioned skills, please email your cv and current Payslip to recruitment@aaagrowers.co.ke"
"Cash-Based Interventions Officer",2019-04-03,2019-04-16," United Nations High Commissioner ","NGO/Non-Profit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to United Nations High Commissioner for Refugees (UNHCR) career website on public.msrp.unhcr.org to apply"
"Private Sector Engagement Associate-Girls Advocacy Alliance (GAA) Program",2019-04-03,2019-04-10," Coalition on Violence Against Wom","NGO/Non-Profit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,"
A degree in Business Administration, Deelopment, Economics, Communications, Finance, or related field.
Minimum fie years of professional experience in a deelopment program.
Knowledge and experience on Women and Children Rights and Gender Based iolence programming.
Experience working with NGOs addressing counter trafficking-in-persons, economic empowerment and lielihoods for women, skills training, or other related issues preferred.
Knowledge of the regulatory framework related to women’s and children’s rights, GB and priate sector in Kenya.
Knowledge of CSR strategies and demonstrated success in engaging formal and informal sector initiaties.
Demonstrated interpersonal skills, creatie problem soling, and ethical management skills.
Ability to work collaboratiely, support and manage negotiations, and reach consensus among multiple priate sector stakeholders.
Prior experience working with national and county goernment is preferred.
Ability to work independently and effectiely within tight deadlines.
Excellent networking, adocacy and social marketing skills.
Excellent written and oral communication skills.
",NA,"Send your application and coer letter with subject “Priate Sector Engagement Associate-Girls Adocacy Alliance(GAA) Program.” by 10th April 2019 to recruit@coaw.or.ke.**"
"Accounts Assistant",2019-04-03,2019-04-03," RitePak Ltd","Sales / Marketing  ","Nairobi","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ",NA,"
Develop and utilize skills in processing and accounting for accounts payable, receivables and reporting systems.
Process and review financial data and to ensure the integrity of information within the financial systems, ledger reconciliation and data collection as required.
Compilation of Budget estimates and reports.
Assist in debtor collection and make journal entries.
Assist with the preparation of annual reports and audits.
Enhancing understanding and use of the financial systems of the organization.
Respond to finance enquiries in person or on the phone.
Perform balance sheet reconciliation and perform bank account reconciliation
Preparation, Filling & Remittance of monthly statutory Deductions in a timely manner i.e. PAYE, VAT, NSSF & NHIF
Perform other job-related duties as assigned
",NA,NA,"Email your resume to hr@ritepak.co.ke. Please include a cover letter in the body of the email and also include your current and expected remuneration in your application."
"General Information",2019-04-03,2019-04-03," RitePak Ltd","Finance / Accounting / Audit  ","Nairobi","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ",NA,NA,NA,NA,"Email your resume to hr@ritepak.co.ke. Please include a cover letter in the body of the email and also include your current and expected remuneration in your application."
"Horn of Africa Representative",2019-04-03,2019-04-10," Global Peace and Prosperity Initi","NGO/Non-Profit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,NA,NA,"If you think you meet the job specification, please send your CVs/Resume and motivation letter (specifying your achievements and why you think you are the right person for this position) to gloppirecruitment@gmail.com not later than 10th April, 2019. Please put Horn of Africa Representative in the subject line of your email. Because of the urgency of this position, we will review the applications regularly as we receive application. Unfortunately, only shortlisted candidates will be contacted"
"Graduate Engineers Internship",2019-04-03,NA," Engineers Board of Kenya (EBK)","Engineering / Technical  
Graduate Jobs / Internships  ","Nairobi","Full Time"," Government","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to Engineers Board of Kenya (EBK) career website on ebk.or.ke to apply"
"Restaurant Hostess",2019-04-03,NA," Kempinski Hotels","Hospitality / Hotel / Restaurant  ","Nairobi","Full Time"," Hospitality","BA/BSc/HND   ",NA,"
Ensure rules & regulations are strictly adhered within the hotel including hotel’s policy on fire and safety as well as hygiene regulations including HACCP.
Ensure rules & regulations are strictly adhered within the hotel including hotel’s policy on fire and safety as well as hygiene regulations including HACCP.
Ensure the service team is well managed, having delegated the appropriate tasks to the team members.
Ensure high quality of product and service is maintained in the outlet.
The outlet is developed in an entrepreneurial manner, looking for opportunities to generate more business at all times.
Report to duty punctually wearing the correct uniform, clean and well pressed including appropriate shoes (polished) and nametag at all times according to the hotels dress code & Kempinski grooming standards, maintaining a high standard of personal appearance and hygiene at all times.
Providing a courteous, professional and efficient service at all times.
Ensure all duties and tasks are performed as per the tasks required at the outlet.
Be knowledgeable of all services and products offered by the hotel.
Have a thorough knowledge and understanding of all food and beverage items offered by the department assigned.
Have the knowledge and understanding to explain and perform upselling all items offered by the department assigned as well as offering alternatives.
Monitor operating supplies, equipment and reduce spoilage and wastage successfully.
Ensure that the place of work and surrounding area is kept clean and organized at all times.
Successfully perform opening and closing procedures established for the assigned outlet.
Handle guest enquiries in a courteous and efficient manner and report guest complaints and feedback to supervisors.
Report guest complaints immediately to the supervisors and ensuring follow up is performed with the guest.
Be knowledgeable to operate the existing POS system based on the trained responsibility level as assigned in the department.
Understand and strictly adhere to the rules & regulations established in the hotel’s policy manual and the hotel’s policy on fire, hygiene, health & safety.
Maintain a good rapport and work relation with staff in the assigned department and within the hotel.
Attend and contribute to all staff meetings, departmental trainings and hotel initiated trainings scheduled.
Undertake reasonable tasks and secondary duties as assigned by the Department Head.
Respond to any changes in the department as dictated by the hotel management.
Assist in carrying out scheduled inventories of products and operating equipment.
Perform any other assigned reasonable duties and responsibilities as assigned. 
Project at all times a positive and motivated attitude and exercise self-control.
Maintain and update the restaurants guest history.
Maintain a legible and up to date reservation book.
Maintain and coordinate the printing of the respective restaurant menus.
Maintain excellent communication to all related departments i.e Guest Services and Concierge departments, Restaurant Reservations and all other F&B outlets, In Room dining and Banquet Service.
Additional responsibilities and tasks can be added at any time according to the needs of the business and of the hotel.
",NA,NA,"Interested and qualified? Go to Kempinski Hotels career website on kempinski.taleo.net to apply"
"Content Moderator - Foreign Languages (Oromo, Amharic, Luganda, Hausa, Afrikaans, Zulu)",2019-04-03,NA," Samasource","Media / Advertising / Branding  ","Nairobi","Full Time"," ICT / Telecommunication","BA/BSc/HND   ",NA,"
Minimum language test score to be achieved in English language test.
Minimum score to be achieved in Vendor reasoning/analytical test.
Working knowledge of MS Office applications.
Quick learner and able to decipher complex information.
Fluent in written and verbal English as well as one of the following: Zulu/ Afrikaans/ Luganda/ Oromo/ Somali/ Amharic/ Hausa
Strong interpersonal skills, verbal and written communication skills and most importantly empathy.
Excellent web research skills.
Keen attention to details.
Ability to work with a sense of urgency.
Good time-management skills.
Ability to /interest in communicating effectively with people from diverse backgrounds and cultures.
Must be a good team player
",NA,NA,"Interested and qualified? Go to Samasource career website on www.linkedin.com to apply"
